HORA,FECHA,CATEGORIA,ID,YT,IG,TT,TH,X,TITULO,EDITOR,FORMATO,LINK,VERSION
13:00,13/04/2025,DULCE,DUB2540193,VERDADERO,VERDADERO,VERDADERO,NO,VERDADERO,Hombre embaraza a su novia y a su suegra,Michelle Sandoval,Video Listo (REEL),https://youtube.com/shorts/7h-Zo_FjUZg,v1
14:00,13/04/2025,REPORTAJE,RLOB2540188,VERDADERO,VERDADERO,VERDADERO,NO,NO,Así luce hoy la casa abandonada de Cantinflas,Antonio Rivera,Video Listo (REEL),https://youtube.com/shorts/YFyhmoYazTQ,v1
14:30,13/04/2025,APROBADO,PRB2540229,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO LUMI Café: A veces es mejor quedarse en silencio,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/Fwr3n6ppkUk,v1
15:00,13/04/2025,DULCE,DUB2540182,VERDADERO,VERDADERO,VERDADERO,NO,NO,Así son los ultrasonidos 6D,Sergio Uribe,Video Listo,https://youtube.com/shorts/uikt1jsOM,v1
16:00,13/04/2025,DULCE,DUB2540051,VERDADERO,VERDADERO,VERDADERO,VERDADERO,NO,Así viven las millonarias en Méico,Sergio Uribe,Video Listo v2,https://youtu.be/KtT1FbPN1v0,v2
16:30,13/04/2025,APROBADO,PRB2540106,VERDADERO,VERDADERO,VERDADERO,NO,NO,"PROMO EValencia: Si te separas de tu esposo, tienes derecho a una pensión",Emmanuel Alvarez,Video Listo (REEL) v2,https://youtube.com/shorts/kpbmdevMUWY,v2
17:00,13/04/2025,911,ALGB2540199,VERDADERO,VERDADERO,NO,NO,VERDADERO,Tu perro podría estar en peligro,Elihu Gonzalez,Video Listo,https://youtube.com/shorts/r-ds-v2YuGI,v1
17:30,13/04/2025,VICTOR SERRANO,VST2540242,VERDADERO,VERDADERO,VERDADERO,NO,NO,Las tlayudas de Oaaca son las mejores del mundo,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/Ii9cTolMFtk,v1
18:00,13/04/2025,DULCE,DUB2540144,VERDADERO,VERDADERO,VERDADERO,NO,NO,¿Revelan el oscuro secreto de Belinda?,Sergio Uribe,Video Listo v2,https://youtube.com/shorts/VyMq45SGGc,v2
9:00,14/04/2025,HACKS,RLOB2540116,VERDADERO,VERDADERO,VERDADERO,NO,NO,No hagas esto con tu carro,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/oQ4qWFGCRi4,v1
12:00,14/04/2025,APROBADO,MKTB2520304,VERDADERO,VERDADERO,VERDADERO,NO,NO,MKT DAcosta: Los niños más inteligentes de Nuevo León no tienen computadora,Mauricio Gomez,Video Listo (REEL) v2,https://youtube.com/shorts/Un8AQbQuEPU,v2
15:30,14/04/2025,VICTOR SERRANO,VST2540282,VERDADERO,VERDADERO,VERDADERO,NO,NO,Dios te está preparando una sorpresa,Gamaliel Alvarez,Video Listo (TALENTO),https://youtube.com/shorts/gUbJbtBsWUY,v1
